epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,105.618,2.07581,1.87244,1.48427,0.75237,0.30877,0.51029,0.17545,2.02036,2.37864,1.62946,0.00380689,0.00126896,0.00380689,0.00126896,0.00380689,0.00126896,0.00380689,0.00126896
31,109.595,2.08644,1.8523,1.47271,0.67897,0.39228,0.53169,0.19152,2.05837,2.24418,1.64171,0.00388056,0.00129352,0.00388056,0.00129352,0.00388056,0.00129352,0.00388056,0.00129352
32,112.592,2.0442,1.8105,1.49154,0.6246,0.49593,0.54201,0.1964,2.06346,2.08804,1.63931,0.00395067,0.00131689,0.00395067,0.00131689,0.00395067,0.00131689,0.00395067,0.00131689
33,114.504,2.09853,1.76029,1.46361,0.6246,0.49593,0.54201,0.1964,2.06346,2.08804,1.63931,0.00401722,0.00133907,0.00401722,0.00133907,0.00401722,0.00133907,0.00401722,0.00133907
34,117.719,2.00761,1.71865,1.45096,0.60439,0.56504,0.56136,0.2046,2.07312,1.91935,1.63343,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,120.964,2.04979,1.70547,1.45621,0.59278,0.61992,0.58431,0.21413,2.05702,1.75572,1.61244,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,123.983,2.00825,1.65389,1.44079,0.60014,0.60772,0.59857,0.22183,2.04405,1.66702,1.59779,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,127.684,2.11337,1.66462,1.45403,0.60014,0.60772,0.59857,0.22183,2.04405,1.66702,1.59779,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,131.692,2.00071,1.57522,1.42311,0.62228,0.59756,0.62094,0.23901,2.01309,1.60648,1.5691,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,134.96,2.066,1.6135,1.41328,0.59984,0.63211,0.62027,0.25314,1.97993,1.55688,1.53766,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,139.66,1.9969,1.56781,1.39805,0.62004,0.62686,0.64097,0.26243,1.96827,1.54032,1.51875,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,142.954,1.9415,1.55935,1.42726,0.62004,0.62686,0.64097,0.26243,1.96827,1.54032,1.51875,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,147.332,2.06432,1.54473,1.39534,0.65158,0.61575,0.65637,0.26907,1.97024,1.53133,1.50801,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,151.038,2.00894,1.5257,1.39304,0.63236,0.65244,0.65736,0.27642,1.95897,1.50193,1.49294,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,154.954,1.97021,1.50957,1.39047,0.67832,0.63002,0.66932,0.28234,1.94588,1.49291,1.47919,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,158.174,1.9846,1.49586,1.37945,0.67832,0.63002,0.66932,0.28234,1.94588,1.49291,1.47919,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,161.165,1.94651,1.49906,1.3985,0.67969,0.65124,0.67632,0.28569,1.93422,1.47198,1.4703,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,165,1.91083,1.49565,1.38936,0.69999,0.6565,0.69103,0.29312,1.9176,1.45151,1.45856,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,167.525,1.93264,1.467,1.37623,0.70711,0.67886,0.70235,0.29597,1.90744,1.43185,1.45164,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,170.26,1.9042,1.45971,1.3748,0.70711,0.67886,0.70235,0.29597,1.90744,1.43185,1.45164,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
