epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,440.314,0.24789,0.5099,1,2.02435,0.0002476,0.0002476,0.0002476
78,454.646,0.22834,0.49505,1,1.79194,0.0002377,0.0002377,0.0002377
79,458.706,0.23457,0.51485,1,2.08676,0.0002278,0.0002278,0.0002278
80,462.155,0.25199,0.5,1,2.11424,0.0002179,0.0002179,0.0002179
81,465.516,0.21291,0.49505,1,2.39204,0.000208,0.000208,0.000208
82,468.637,0.22468,0.4901,1,2.06316,0.0001981,0.0001981,0.0001981
83,471.602,0.20804,0.5198,1,2.22166,0.0001882,0.0001882,0.0001882
84,474.526,0.20085,0.51485,1,2.37598,0.0001783,0.0001783,0.0001783
85,477.521,0.26946,0.5198,1,2.02635,0.0001684,0.0001684,0.0001684
86,480.772,0.20562,0.52475,1,2.2636,0.0001585,0.0001585,0.0001585
87,483.863,0.2249,0.52475,1,1.95641,0.0001486,0.0001486,0.0001486
88,487.036,0.19109,0.4901,1,2.04461,0.0001387,0.0001387,0.0001387
89,490.104,0.22266,0.5,1,2.0821,0.0001288,0.0001288,0.0001288
90,493.559,0.19205,0.51485,1,2.12912,0.0001189,0.0001189,0.0001189
91,512.454,0.2361,0.5198,1,2.3583,0.000109,0.000109,0.000109
92,515.562,0.19251,0.5198,1,2.23905,9.91e-05,9.91e-05,9.91e-05
93,518.471,0.17849,0.5297,1,1.88448,8.92e-05,8.92e-05,8.92e-05
94,521.45,0.19197,0.54455,1,1.99039,7.93e-05,7.93e-05,7.93e-05
95,524.649,0.20073,0.52475,1,1.84421,6.94e-05,6.94e-05,6.94e-05
96,528.542,0.2068,0.52475,1,2.04102,5.95e-05,5.95e-05,5.95e-05
97,532.313,0.14905,0.50495,1,2.00697,4.96e-05,4.96e-05,4.96e-05
98,535.245,0.17098,0.51485,1,1.95578,3.97e-05,3.97e-05,3.97e-05
99,538.179,0.18245,0.5,1,2.28535,2.98e-05,2.98e-05,2.98e-05
100,541.511,0.16413,0.5099,1,2.0101,1.99e-05,1.99e-05,1.99e-05
