epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,4637.98,0.10051,0.36715,0.84541,4.4759,0.000307,0.000307,0.000307
72,4703.68,0.09835,0.38647,0.85024,4.48001,0.0002971,0.0002971,0.0002971
73,4769.77,0.09921,0.41546,0.88406,4.51319,0.0002872,0.0002872,0.0002872
74,4835.04,0.09848,0.4058,0.86957,4.55288,0.0002773,0.0002773,0.0002773
75,4900.3,0.08929,0.38164,0.85024,4.36152,0.0002674,0.0002674,0.0002674
76,4965.61,0.09558,0.36715,0.85507,4.47618,0.0002575,0.0002575,0.0002575
77,5031.33,0.09254,0.36232,0.8599,4.55961,0.0002476,0.0002476,0.0002476
78,5096.88,0.09261,0.4058,0.84541,4.46352,0.0002377,0.0002377,0.0002377
79,5162.1,0.08459,0.39614,0.86473,4.43902,0.0002278,0.0002278,0.0002278
80,5227.78,0.0763,0.39614,0.85507,4.44484,0.0002179,0.0002179,0.0002179
81,5293.28,0.09001,0.39614,0.8599,4.57209,0.000208,0.000208,0.000208
82,5358.4,0.07368,0.40097,0.84058,4.67535,0.0001981,0.0001981,0.0001981
83,5423.73,0.06707,0.41546,0.83575,4.51207,0.0001882,0.0001882,0.0001882
84,5489.4,0.07822,0.40097,0.84541,4.70989,0.0001783,0.0001783,0.0001783
85,5554.67,0.07041,0.38164,0.84541,4.85184,0.0001684,0.0001684,0.0001684
86,5619.11,0.07961,0.38647,0.85024,4.7142,0.0001585,0.0001585,0.0001585
87,5684.1,0.06992,0.42029,0.85024,4.62536,0.0001486,0.0001486,0.0001486
88,5749.69,0.06288,0.38647,0.85024,4.71197,0.0001387,0.0001387,0.0001387
89,5815.34,0.06571,0.38164,0.84541,4.84636,0.0001288,0.0001288,0.0001288
90,5880.76,0.06029,0.39614,0.85024,4.73544,0.0001189,0.0001189,0.0001189
91,5945.99,0.05541,0.38164,0.85024,4.8477,0.000109,0.000109,0.000109
92,6011.69,0.06804,0.43478,0.84058,4.74659,9.91e-05,9.91e-05,9.91e-05
93,6075.95,0.06036,0.42029,0.8599,4.90987,8.92e-05,8.92e-05,8.92e-05
94,6141.4,0.05088,0.42029,0.8599,4.86763,7.93e-05,7.93e-05,7.93e-05
95,6207.28,0.0582,0.41546,0.8744,4.78091,6.94e-05,6.94e-05,6.94e-05
96,6273.12,0.05571,0.42029,0.86473,4.85362,5.95e-05,5.95e-05,5.95e-05
97,6338.83,0.05252,0.42029,0.8599,4.52784,4.96e-05,4.96e-05,4.96e-05
98,6403.74,0.05819,0.42029,0.86473,4.65206,3.97e-05,3.97e-05,3.97e-05
99,6469.37,0.04907,0.42029,0.86473,4.79334,2.98e-05,2.98e-05,2.98e-05
100,6534.27,0.04917,0.42029,0.86473,4.79125,1.99e-05,1.99e-05,1.99e-05
